HBName,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-28,2020-03-29
Ayrshire and Arran,0,0,0,1,1,1,1,1,1,1,3,4,4,6,6,7,6,9,12,16,21,25,34,41,57,74,90,108
Borders,0,0,0,0,0,NA,NA,NA,NA,NA,2,2,3,5,7,7,7,7,8,9,10,11,12,12,15,23,35,50
Dumfries and Galloway,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,6,10,13,16,18,26,31,39,60,63
Fife,0,0,0,0,0,2,2,2,2,2,2,3,4,6,7,7,7,8,9,12,13,16,19,25,29,40,51,58
Forth Valley,0,0,0,0,1,2,2,2,2,2,2,6,6,6,10,10,12,15,17,23,27,30,40,43,59,75,95,94
Grampian,0,0,0,1,2,3,4,4,4,6,6,7,11,9,12,12,26,24,18,19,20,23,24,24,29,31,52,62
Greater Glasgow and Clyde,0,0,0,0,1,1,2,3,3,3,5,10,21,31,39,44,49,57,71,91,110,130,152,183,221,258,376,401
Highland,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,5,5,6,6,8,8,12,13,22,29,36,42
Lanarkshire,0,0,0,0,0,NA,2,2,3,3,4,7,7,10,16,20,21,25,33,41,49,49,58,75,87,114,165,184
Lothian,0,0,0,0,0,1,2,3,5,7,8,11,20,25,28,29,30,33,35,40,44,46,59,70,88,111,151,188
Orkney,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shetland,0,0,0,0,0,NA,NA,NA,2,2,2,6,6,11,11,15,11,16,24,24,24,24,24,24,24,24,27,27
Tayside,0,1,1,1,1,1,1,1,1,1,2,4,3,11,15,17,20,24,27,31,34,38,47,48,57,76,107,107
Western Isles,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA